experiment,vix_floor,vix_ceiling,base_stop,hv_scale,mc_p5_dd,hedged_sharpe,annual_return_pct,passes_30pct
EXP-400,16.0,35.0,3.0,0.15,-10.37,3.165,29.11,True
EXP-400,16.0,35.0,3.0,0.25,-10.37,3.165,29.11,True
EXP-400,16.0,35.0,3.5,0.05,-10.37,3.169,29.17,True
EXP-400,16.0,35.0,3.5,0.1,-10.37,3.165,29.11,True
EXP-400,16.0,35.0,3.5,0.15,-10.37,3.165,29.11,True
EXP-400,16.0,35.0,3.5,0.25,-10.37,3.165,29.11,True
EXP-400,14.0,38.0,1.5,0.05,-10.46,3.091,26.33,True
EXP-400,14.0,38.0,2.0,0.05,-10.46,3.091,26.33,True
EXP-400,14.0,38.0,2.5,0.05,-10.46,3.091,26.33,True
EXP-400,14.0,38.0,3.0,0.05,-10.46,3.091,26.33,True
EXP-400,14.0,38.0,3.5,0.05,-10.46,3.091,26.33,True
EXP-400,14.0,38.0,1.5,0.1,-10.5,3.075,26.21,True
EXP-400,14.0,38.0,1.5,0.15,-10.5,3.075,26.21,True
EXP-400,14.0,38.0,1.5,0.25,-10.5,3.075,26.21,True
EXP-400,14.0,38.0,2.0,0.1,-10.5,3.075,26.21,True
EXP-400,14.0,38.0,2.0,0.15,-10.5,3.075,26.21,True
EXP-400,14.0,38.0,2.0,0.25,-10.5,3.075,26.21,True
EXP-400,14.0,38.0,2.5,0.1,-10.5,3.075,26.21,True
EXP-400,14.0,38.0,2.5,0.15,-10.5,3.075,26.21,True
EXP-400,14.0,38.0,2.5,0.25,-10.5,3.075,26.21,True
EXP-400,14.0,38.0,3.0,0.1,-10.5,3.075,26.21,True
EXP-400,14.0,38.0,3.0,0.15,-10.5,3.075,26.21,True
EXP-400,14.0,38.0,3.0,0.25,-10.5,3.075,26.21,True
EXP-400,14.0,38.0,3.5,0.1,-10.5,3.075,26.21,True
EXP-400,14.0,38.0,3.5,0.15,-10.5,3.075,26.21,True
EXP-400,14.0,38.0,3.5,0.25,-10.5,3.075,26.21,True
EXP-400,12.0,42.0,1.5,0.05,-11.16,2.973,24.11,True
EXP-400,12.0,42.0,2.0,0.05,-11.16,2.973,24.11,True
EXP-400,12.0,42.0,2.5,0.05,-11.16,2.973,24.11,True
EXP-400,12.0,42.0,3.0,0.05,-11.16,2.973,24.11,True
EXP-400,12.0,42.0,3.5,0.05,-11.16,2.973,24.11,True
EXP-400,12.0,42.0,1.5,0.1,-11.32,2.95,23.96,True
EXP-400,12.0,42.0,2.0,0.1,-11.32,2.95,23.96,True
EXP-400,12.0,42.0,2.5,0.1,-11.32,2.95,23.96,True
EXP-400,12.0,42.0,3.0,0.1,-11.32,2.95,23.96,True
EXP-400,12.0,42.0,3.5,0.1,-11.32,2.95,23.96,True
EXP-400,12.0,42.0,1.5,0.15,-11.42,2.93,23.86,True
EXP-400,12.0,42.0,1.5,0.25,-11.42,2.931,23.86,True
EXP-400,12.0,42.0,2.0,0.15,-11.42,2.93,23.86,True
EXP-400,12.0,42.0,2.0,0.25,-11.42,2.931,23.86,True
EXP-400,12.0,42.0,2.5,0.15,-11.42,2.93,23.86,True
EXP-400,12.0,42.0,2.5,0.25,-11.42,2.931,23.86,True
EXP-400,12.0,42.0,3.0,0.15,-11.42,2.93,23.86,True
EXP-400,12.0,42.0,3.0,0.25,-11.42,2.931,23.86,True
EXP-400,12.0,42.0,3.5,0.15,-11.42,2.93,23.86,True
EXP-400,12.0,42.0,3.5,0.25,-11.42,2.931,23.86,True
EXP-400,18.0,35.0,1.5,0.05,-12.12,3.088,31.09,True
EXP-400,18.0,35.0,1.5,0.1,-12.12,3.079,31.02,True
EXP-400,18.0,35.0,1.5,0.15,-12.12,3.079,31.02,True
EXP-400,18.0,35.0,1.5,0.25,-12.12,3.079,31.02,True
EXP-400,18.0,35.0,2.0,0.05,-12.12,3.088,31.09,True
EXP-400,18.0,35.0,2.0,0.1,-12.12,3.079,31.02,True
EXP-400,18.0,35.0,2.0,0.15,-12.12,3.079,31.02,True
EXP-400,18.0,35.0,2.0,0.25,-12.12,3.079,31.02,True
EXP-400,18.0,35.0,2.5,0.05,-12.12,3.088,31.09,True
EXP-400,18.0,35.0,2.5,0.1,-12.12,3.079,31.02,True
EXP-400,18.0,35.0,2.5,0.15,-12.12,3.079,31.02,True
EXP-400,18.0,35.0,2.5,0.25,-12.12,3.079,31.02,True
EXP-400,18.0,35.0,3.0,0.05,-12.12,3.088,31.09,True
EXP-400,18.0,35.0,3.0,0.1,-12.12,3.079,31.02,True
EXP-400,18.0,35.0,3.0,0.15,-12.12,3.079,31.02,True
EXP-400,18.0,35.0,3.0,0.25,-12.12,3.079,31.02,True
EXP-400,18.0,35.0,3.5,0.05,-12.12,3.088,31.09,True
EXP-400,18.0,35.0,3.5,0.1,-12.12,3.079,31.02,True
EXP-400,18.0,35.0,3.5,0.15,-12.12,3.079,31.02,True
EXP-400,18.0,35.0,3.5,0.25,-12.12,3.079,31.02,True
EXP-400,16.0,38.0,1.5,0.05,-12.23,3.043,29.24,True
EXP-400,16.0,38.0,2.0,0.05,-12.23,3.043,29.24,True
EXP-400,16.0,38.0,2.5,0.05,-12.23,3.043,29.24,True
EXP-400,16.0,38.0,3.0,0.05,-12.23,3.043,29.24,True
EXP-400,16.0,38.0,3.5,0.05,-12.23,3.043,29.24,True
EXP-400,16.0,38.0,1.5,0.1,-12.29,3.027,29.12,True
EXP-400,16.0,38.0,1.5,0.15,-12.29,3.027,29.12,True
EXP-400,16.0,38.0,1.5,0.25,-12.29,3.027,29.12,True
EXP-400,16.0,38.0,2.0,0.1,-12.29,3.027,29.12,True
EXP-400,16.0,38.0,2.0,0.15,-12.29,3.027,29.12,True
EXP-400,16.0,38.0,2.0,0.25,-12.29,3.027,29.12,True
EXP-400,16.0,38.0,2.5,0.1,-12.29,3.027,29.12,True
EXP-400,16.0,38.0,2.5,0.15,-12.29,3.027,29.12,True
EXP-400,16.0,38.0,2.5,0.25,-12.29,3.027,29.12,True
EXP-400,16.0,38.0,3.0,0.1,-12.29,3.027,29.12,True
EXP-400,16.0,38.0,3.0,0.15,-12.29,3.027,29.12,True
EXP-400,16.0,38.0,3.0,0.25,-12.29,3.027,29.12,True
EXP-400,16.0,38.0,3.5,0.1,-12.29,3.027,29.12,True
EXP-400,16.0,38.0,3.5,0.15,-12.29,3.027,29.12,True
EXP-400,16.0,38.0,3.5,0.25,-12.29,3.027,29.12,True
EXP-400,14.0,42.0,1.5,0.1,-12.58,2.931,26.61,True
EXP-400,14.0,42.0,2.0,0.1,-12.58,2.931,26.61,True
EXP-400,14.0,42.0,2.5,0.1,-12.58,2.931,26.61,True
EXP-400,14.0,42.0,3.0,0.1,-12.58,2.931,26.61,True
EXP-400,14.0,42.0,3.5,0.1,-12.58,2.931,26.61,True
EXP-400,14.0,42.0,1.5,0.05,-12.6,2.944,26.74,True
EXP-400,14.0,42.0,2.0,0.05,-12.6,2.944,26.74,True
EXP-400,14.0,42.0,2.5,0.05,-12.6,2.944,26.74,True
EXP-400,14.0,42.0,3.0,0.05,-12.6,2.944,26.74,True
EXP-400,14.0,42.0,3.5,0.05,-12.6,2.944,26.74,True
EXP-400,14.0,42.0,1.5,0.15,-12.86,2.91,26.47,True
EXP-400,14.0,42.0,1.5,0.25,-12.86,2.889,26.36,True
EXP-400,14.0,42.0,2.0,0.15,-12.86,2.91,26.47,True
EXP-400,14.0,42.0,2.0,0.25,-12.86,2.889,26.36,True
EXP-400,14.0,42.0,2.5,0.15,-12.86,2.91,26.47,True
EXP-400,14.0,42.0,2.5,0.25,-12.86,2.889,26.36,True
